car_year,car_brand,car_model,mileage,has_original_invoice,state_of_origin,simulated_loan_amount
2020,BMW,Serie 5,12.0,Si,Ciudad de México,832800.0
2024,Baic,X55,150.0,Si,Ciudad de México,250400.0
2021,BMW,Serie 3,150.0,Si,Puebla,388000.0
2020,Ford,Lobo,77000.0,Si,Puebla,562400.0
2014,Chrysler,Cherokee,95000.0,Si,Estado de México,124800.0
2017,Mazda,Mazda 3,171000.0,Si,Estado de México,116625.0
2023,General Motors,Onix,90000.0,Si,Ciudad de México,150183.0
2017,Audi,Q5,94000.0,Si,Ciudad de México,238400.0
2018,General Motors,Beat,184000.0,Si,Querétaro,67760.0
2014,General Motors,Cruze,137000.0,Si,Estado de México,70400.0
2016,Nissan,Versa,109000.0,Si,Estado de México,92000.0
2024,Jac,J7,31000.0,Si,Ciudad de México,190800.0
2014,Chrysler,Compass,102000.0,Si,Ciudad de México,108800.0
2018,Nissan,Versa,62000.0,Si,Ciudad de México,115200.0
2014,General Motors,Trax,111000.0,Si,Ciudad de México,100000.0
2016,General Motors,Cruze,116000.0,Si,Ciudad de México,88000.0
2014,Buick,Verano,168000.0,Si,Ciudad de México,96800.0
2019,Kia,RIO,80000.0,Si,Ciudad de México,140800.0
2017,Hyundai,SONATA,133000.0,Si,Estado de México,137600.0
2017,General Motors,Spark,250000.0,Si,Ciudad de México,56112.0
2014,GMC,Acadia,120000.0,Si,Estado de México,162400.0
2017,Ford,Edge,70000.0,Si,Estado de México,205600.0
2016,Nissan,Tiida,251000.0,Si,Ciudad de México,52640.0
2017,Chrysler,Attitude,145000.0,Si,Ciudad de México,76960.0
2017,Chrysler,Attitude,155000.0,Si,Ciudad de México,72400.0
2018,Kia,RIO,66000.0,Si,Ciudad de México,132000.0
2019,Renault,Sandero,110000.0,Si,Puebla,91680.0
2018,Ford,Figo,179000.0,Si,Ciudad de México,70076.0
2022,General Motors,Corvette,6000.0,Si,Ciudad de México,1523200.0
2018,Seat,Leon,86000.0,Si,Hidalgo,154400.0
2017,Toyota,Yaris,130000.0,Si,Ciudad de México,107200.0
2022,Volkswagen,Tiguan,38000.0,Si,Estado de México,278400.0
2017,General Motors,Spark,111000.0,Si,Ciudad de México,80160.0
2015,Volkswagen,Golf,80000.0,Si,Ciudad de México,132000.0
2017,Nissan,Sentra,212000.0,Si,Estado de México,91840.0
2020,Mazda,CX5,55000.0,Si,Ciudad de México,221600.0
2023,Nissan,Frontier,40000.0,Si,Querétaro,308088.0
2017,Nissan,Sentra,110000.0,Si,Ciudad de México,116800.0
2020,Nissan,Versa,185000.0,Si,Estado de México,89600.0
2018,Volkswagen,Polo,69000.0,Si,Ciudad de México,103200.0
2018,General Motors,Aveo,195000.0,Si,Estado de México,68264.0
2014,Volkswagen,Gol,103000.0,Si,Ciudad de México,65600.0
2017,General Motors,Silverado 3500,55000.0,Si,Ciudad de México,267200.0
2016,Volkswagen,Jetta Nuevo,120000.0,Si,Estado de México,105600.0
2014,Mazda,Mazda 2,220000.0,Si,Querétaro,68016.0
2016,Suzuki,Vitara,218000.0,Si,Querétaro,102016.0
2022,Volkswagen,Tiguan,43000.0,Si,Estado de México,304800.0
2014,BMW,Serie 3,165000.0,Si,Ciudad de México,181600.0
2014,Nissan,Tiida,182000.0,Si,Estado de México,59836.0
2017,Hyundai,GRAND I10,121000.0,Si,Ciudad de México,88720.0
2015,General Motors,Malibu,117000.0,Si,Ciudad de México,110400.0
2023,General Motors,Tracker,25000.0,Si,Ciudad de México,215200.0
2023,Suzuki,Ignis,75000.0,Si,Puebla,114307.0
2021,Hyundai,ACCENT,95000.0,Si,Ciudad de México,123506.0
2021,Mazda,Mazda 3,72000.0,Si,Ciudad de México,187200.0
2017,Renault,Duster,79000.0,Si,Querétaro,102400.0
2023,Suzuki,Ertiga,77000.0,Si,Estado de México,165011.0
2018,Nissan,URVAN VAN,212000.0,Si,Estado de México,122640.0
2018,Volkswagen,Gol,112000.0,Si,Ciudad de México,99200.0
2024,M G,MG5,15000.0,Si,Estado de México,153600.0
2014,Renault,Kangoo Express,222000.0,Si,Ciudad de México,0.0
2018,General Motors,Beat,101000.0,Si,Estado de México,82400.0
2016,Honda,City,148000.0,Si,Estado de México,109600.0
2022,Renault,Koleos,81000.0,Si,Puebla,225907.0
2014,Nissan,Pathfinder,178000.0,Si,Estado de México,137952.0
2014,Renault,Sandero,177000.0,Si,Estado de México,66340.0
2019,Mazda,Mazda 2,88000.0,Si,Estado de México,127200.0
2018,Volkswagen,Jetta Nuevo,53000.0,Si,Ciudad de México,135200.0
2016,Ford,Fiesta,130000.0,Si,Ciudad de México,83200.0
2024,Kia,K3,12000.0,Si,Hidalgo,214400.0
2023,Mini Cooper,MINI S,14000.0,Si,Hidalgo,389600.0
2025,Changan,UNI-K,10000.0,Si,Ciudad de México,428720.0
2015,Volkswagen,Passat,147000.0,Si,Morelos,123200.0
2018,Nissan,Versa,169000.0,Si,Puebla,78432.0
2018,General Motors,Aveo,89000.0,Si,Estado de México,100480.0
2020,Kia,RIO,84000.0,Si,Ciudad de México,149600.0
2014,Ford,Focus,77000.0,Si,Estado de México,81600.0
2018,Chrysler,Attitude,133000.0,Si,Estado de México,94575.0
2016,Hyundai,GRAND I10,166000.0,Si,Ciudad de México,69762.0
2020,Volkswagen,Vento,91000.0,Si,Ciudad de México,118320.0
2018,Mazda,Mazda 3,190000.0,Si,Ciudad de México,99120.0
2016,Toyota,RAV4,88000.0,Si,Ciudad de México,167200.0
2015,Ford,Explorer,115000.0,Si,Estado de México,167200.0
2014,General Motors,Spark,140000.0,Si,Ciudad de México,59840.0
2014,Volkswagen,Vento,101000.0,Si,Ciudad de México,76800.0
2018,Hyundai,ELANTRA,146000.0,Si,Ciudad de México,128950.0
2017,Mercedes Benz,Clase E,60000.0,Si,Ciudad de México,259200.0
2020,Nissan,March,187000.0,Si,Ciudad de México,66080.0
2015,Ford,F-350,196000.0,Si,Ciudad de México,200409.0
2021,Honda,CR-V,75000.0,Si,Ciudad de México,293600.0
2021,Seat,ATECA,45000.0,Si,Estado de México,255200.0
2017,General Motors,Spark,70000.0,Si,Ciudad de México,100000.0
2018,Kia,SOUL,71000.0,Si,Ciudad de México,128000.0
2016,Volkswagen,Polo,180000.0,Si,Ciudad de México,76752.0
2014,Volvo,XC60,70000.0,Si,Ciudad de México,156000.0
2014,Seat,Ibiza,172000.0,Si,Ciudad de México,80916.0
2019,BMW,X2,104000.0,Si,Hidalgo,228774.0
2014,Volkswagen,Tiguan,103000.0,Si,Ciudad de México,117600.0
2016,Ford,Fiesta,59000.0,Si,Puebla,84000.0
2018,hiunday,elantra,130000.0,,,98500.0
2023,Nissan,Urvan,85000.0,Si,Querétaro,299468.0
2021,Renault,Kwid,7000.0,Si,Ciudad de México,100800.0
2015,General Motors,Aveo,189000.0,Si,Ciudad de México,55705.0
2023,Nissan,Versa,25000.0,Si,Ciudad de México,166400.0
2022,Volkswagen,Virtus,18000.0,Si,Ciudad de México,175200.0
2018,Volkswagen,Passat,144000.0,Si,Puebla,156305.0
2016,Subaru,Forester,204000.0,Si,Querétaro,109616.0
2022,General Motors,Captiva,42000.0,Si,Ciudad de México,212000.0
2020,Kia,FORTE,107000.0,Si,Querétaro,147312.0
2018,Nissan,Versa,217000.0,Si,Ciudad de México,70560.0
2016,Volkswagen,Tiguan,96000.0,Si,Ciudad de México,142400.0
2017,Volkswagen,Crafter,108000.0,Si,Ciudad de México,283200.0
2014,General Motors,Matiz,138000.0,Si,Ciudad de México,45040.0
2020,BMW,X2,60000.0,Si,Ciudad de México,299200.0
2015,Audi,A3,115000.0,Si,Ciudad de México,129600.0
2021,Kia,RIO,68000.0,Si,Ciudad de México,151200.0
2014,Renault,Fluence,60000.0,Si,Querétaro,72000.0
2018,Kia,FORTE,88000.0,Si,Ciudad de México,140000.0
2019,Suzuki,Swift,33000.0,Si,Ciudad de México,124000.0
2016,Mercedes Benz,Clase C,78000.0,Si,Ciudad de México,193600.0
2022,Chrysler,Journey,34000.0,Si,Ciudad de México,277600.0
2015,Audi,A1,150000.0,Si,Ciudad de México,121600.0
2018,Renault,Logan,166000.0,Si,Ciudad de México,66579.0
2020,Toyota,Corolla,49000.0,Si,Ciudad de México,172000.0
2020,Kia,SELTOS,70000.0,Si,Estado de México,175200.0
2019,Toyota,Avanza,60000.0,Si,Puebla,140800.0
2014,Seat,Ibiza,180000.0,Si,Estado de México,90440.0
2017,Chrysler,Grand Cherokee,69000.0,Si,Estado de México,278400.0
2017,Mercedes Benz,Clase C,79000.0,Si,Ciudad de México,216800.0
2024,Volkswagen,Virtus,4000.0,Si,Ciudad de México,208000.0
